Player_name,Player_Ground,Player_match,Player_Inns,Player_NO,Player_Runs,Player_HS,Player_Ave,Player_BF,Player_SR,Player_hundred
L Siaka,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4,4,0,72,30,18,86,83.72,0
Haris Sohail,Pakistan - Rawalpindi Cricket Stadium,1,1,0,71,71,71,82,86.58,0
CS MacLeod,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,0,71,45,35.5,129,55.03,0
B Bhandari,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,4,0,70,37,17.5,125,56,0
JN Malan,"South Africa - SuperSport Park, Centurion",1,1,0,70,70,70,81,86.41,0
NK Patel,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,4,0,70,21,17.5,152,46.05,0
KA Pollard,"West Indies - Kensington Oval, Bridgetown, Barbados",3,3,0,69,56,23,86,80.23,0
R Powell,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",2,2,0,69,41,34.5,97,71.13,0
Asghar Afghan,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",3,3,1,68,41,34,99,68.68,0
W Madhevere,Zimbabwe - Harare Sports Club,3,3,0,68,56,22.66,84,80.95,0
KA Pollard,"West Indies - Sir Vivian Richards Stadium, North Sound, Antigua",3,2,1,68,53*,68,53,128.3,0
Sikandar Raza,"Ireland - Civil Service Cricket Club, Stormont, Belfast",2,2,1,68,59*,68,63,107.93,0
Aqib Ilyas,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,0,67,34,33.5,105,63.8,0
EH Hutchinson,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4,3,1,67,49*,33.5,79,84.81,0
DJ Malan,"India - Maharashtra Cricket Association Stadium, Pune",2,2,1,66,50,66,73,90.41,0
Simi Singh,"Netherlands - Sportpark Maarschalkerweerd, Utrecht",3,2,1,66,45,66,104,63.46,0
RP Burl,Zimbabwe - Harare Sports Club,2,2,0,65,59,32.5,60,108.33,0
Jatinder Singh,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,0,65,64,32.5,70,92.85,0
W Madhevere,Pakistan - Rawalpindi Cricket Stadium,2,2,0,65,55,32.5,76,85.52,0
JR Philippe,"West Indies - Kensington Oval, Bridgetown, Barbados",3,3,0,65,39,21.66,89,73.03,0
Suraj Kumar,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,1,65,62*,65,82,79.26,0
Mushfiqur Rahim,"Bangladesh - Zahur Ahmed Chowdhury Stadium, Chattogram",1,1,0,64,64,64,55,116.36,0
Suraj Kumar,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4,4,0,64,35,16,75,85.33,0
Tamim Iqbal,"Bangladesh - Zahur Ahmed Chowdhury Stadium, Chattogram",1,1,0,64,64,64,80,80,0
